grid_id,min_x,min_y,max_x,max_y,center_x,center_y,geometry,arrival_count
9734,121.62210325541498,30.90301534222531,121.6326441211193,30.91202435123432,121.62737368826716,30.907519846729812,"POLYGON ((121.6326441211193 30.90301534222531, 121.6326441211193 30.91202435123432, 121.62210325541498 30.91202435123432, 121.62210325541498 30.90301534222531, 121.6326441211193 30.90301534222531))",1.0
10000,121.6431849868236,30.90301534222531,121.65372585252793,30.91202435123432,121.64845541967576,30.907519846729812,"POLYGON ((121.65372585252793 30.90301534222531, 121.65372585252793 30.91202435123432, 121.6431849868236 30.91202435123432, 121.6431849868236 30.90301534222531, 121.65372585252793 30.90301534222531))",2.0
9735,121.62210325541498,30.91202435123432,121.6326441211193,30.921033360243328,121.62737368826716,30.916528855738825,"POLYGON ((121.6326441211193 30.91202435123432, 121.6326441211193 30.921033360243328, 121.62210325541498 30.921033360243328, 121.62210325541498 30.91202435123432, 121.6326441211193 30.91202435123432))",4.0
9868,121.6326441211193,30.91202435123432,121.6431849868236,30.921033360243328,121.63791455397144,30.916528855738825,"POLYGON ((121.6431849868236 30.91202435123432, 121.6431849868236 30.921033360243328, 121.6326441211193 30.921033360243328, 121.6326441211193 30.91202435123432, 121.6431849868236 30.91202435123432))",4.0
9334,121.59048065830204,30.8940063332163,121.60102152400636,30.90301534222531,121.5957510911542,30.898510837720803,"POLYGON ((121.60102152400636 30.8940063332163, 121.60102152400636 30.90301534222531, 121.59048065830204 30.90301534222531, 121.59048065830204 30.8940063332163, 121.60102152400636 30.8940063332163))",0.0
9468,121.60102152400636,30.90301534222531,121.61156238971068,30.91202435123432,121.60629195685851,30.907519846729812,"POLYGON ((121.61156238971068 30.90301534222531, 121.61156238971068 30.91202435123432, 121.60102152400636 30.91202435123432, 121.60102152400636 30.90301534222531, 121.61156238971068 30.90301534222531))",0.0
9601,121.61156238971068,30.90301534222531,121.62210325541498,30.91202435123432,121.61683282256284,30.907519846729812,"POLYGON ((121.62210325541498 30.90301534222531, 121.62210325541498 30.91202435123432, 121.61156238971068 30.91202435123432, 121.61156238971068 30.90301534222531, 121.62210325541498 30.90301534222531))",0.0
9202,121.57993979259771,30.90301534222531,121.59048065830204,30.91202435123432,121.58521022544988,30.907519846729812,"POLYGON ((121.59048065830204 30.90301534222531, 121.59048065830204 30.91202435123432, 121.57993979259771 30.91202435123432, 121.57993979259771 30.90301534222531, 121.59048065830204 30.90301534222531))",0.0
9335,121.59048065830204,30.90301534222531,121.60102152400636,30.91202435123432,121.5957510911542,30.907519846729812,"POLYGON ((121.60102152400636 30.90301534222531, 121.60102152400636 30.91202435123432, 121.59048065830204 30.91202435123432, 121.59048065830204 30.90301534222531, 121.60102152400636 30.90301534222531))",0.0
9602,121.61156238971068,30.91202435123432,121.62210325541498,30.921033360243328,121.61683282256284,30.916528855738825,"POLYGON ((121.62210325541498 30.91202435123432, 121.62210325541498 30.921033360243328, 121.61156238971068 30.921033360243328, 121.61156238971068 30.91202435123432, 121.62210325541498 30.91202435123432))",4.0
9203,121.57993979259771,30.91202435123432,121.59048065830204,30.921033360243328,121.58521022544988,30.916528855738825,"POLYGON ((121.59048065830204 30.91202435123432, 121.59048065830204 30.921033360243328, 121.57993979259771 30.921033360243328, 121.57993979259771 30.91202435123432, 121.59048065830204 30.91202435123432))",0.0
9469,121.60102152400636,30.91202435123432,121.61156238971068,30.921033360243328,121.60629195685851,30.916528855738825,"POLYGON ((121.61156238971068 30.91202435123432, 121.61156238971068 30.921033360243328, 121.60102152400636 30.921033360243328, 121.60102152400636 30.91202435123432, 121.61156238971068 30.91202435123432))",1.0
9336,121.59048065830204,30.91202435123432,121.60102152400636,30.921033360243328,121.5957510911542,30.916528855738825,"POLYGON ((121.60102152400636 30.91202435123432, 121.60102152400636 30.921033360243328, 121.59048065830204 30.921033360243328, 121.59048065830204 30.91202435123432, 121.60102152400636 30.91202435123432))",0.0
9603,121.61156238971068,30.921033360243328,121.62210325541498,30.930042369252337,121.61683282256284,30.92553786474783,"POLYGON ((121.62210325541498 30.921033360243328, 121.62210325541498 30.930042369252337, 121.61156238971068 30.930042369252337, 121.61156238971068 30.921033360243328, 121.62210325541498 30.921033360243328))",0.0
10001,121.6431849868236,30.91202435123432,121.65372585252793,30.921033360243328,121.64845541967576,30.916528855738825,"POLYGON ((121.65372585252793 30.91202435123432, 121.65372585252793 30.921033360243328, 121.6431849868236 30.921033360243328, 121.6431849868236 30.91202435123432, 121.65372585252793 30.91202435123432))",5.0
9736,121.62210325541498,30.921033360243328,121.6326441211193,30.930042369252337,121.62737368826716,30.92553786474783,"POLYGON ((121.6326441211193 30.921033360243328, 121.6326441211193 30.930042369252337, 121.62210325541498 30.930042369252337, 121.62210325541498 30.921033360243328, 121.6326441211193 30.921033360243328))",2.0
9869,121.6326441211193,30.921033360243328,121.6431849868236,30.930042369252337,121.63791455397144,30.92553786474783,"POLYGON ((121.6431849868236 30.921033360243328, 121.6431849868236 30.930042369252337, 121.6326441211193 30.930042369252337, 121.6326441211193 30.921033360243328, 121.6431849868236 30.921033360243328))",4.0
10002,121.6431849868236,30.921033360243328,121.65372585252793,30.930042369252337,121.64845541967576,30.92553786474783,"POLYGON ((121.65372585252793 30.921033360243328, 121.65372585252793 30.930042369252337, 121.6431849868236 30.930042369252337, 121.6431849868236 30.921033360243328, 121.65372585252793 30.921033360243328))",0.0
9737,121.62210325541498,30.930042369252337,121.6326441211193,30.939051378261347,121.62737368826716,30.934546873756844,"POLYGON ((121.6326441211193 30.930042369252337, 121.6326441211193 30.939051378261347, 121.62210325541498 30.939051378261347, 121.62210325541498 30.930042369252337, 121.6326441211193 30.930042369252337))",0.0
9870,121.6326441211193,30.930042369252337,121.6431849868236,30.939051378261347,121.63791455397144,30.934546873756844,"POLYGON ((121.6431849868236 30.930042369252337, 121.6431849868236 30.939051378261347, 121.6326441211193 30.939051378261347, 121.6326441211193 30.930042369252337, 121.6431849868236 30.930042369252337))",0.0
10003,121.6431849868236,30.930042369252337,121.65372585252793,30.939051378261347,121.64845541967576,30.934546873756844,"POLYGON ((121.65372585252793 30.930042369252337, 121.65372585252793 30.939051378261347, 121.6431849868236 30.939051378261347, 121.6431849868236 30.930042369252337, 121.65372585252793 30.930042369252337))",0.0
